单词,音标,中文解释,是否为初中单词
artist,ˈɑ:tɪst,n. 艺术家；美术家（尤指画家）；大师,True
as,əz,"conj. 因为；随着；虽然；依照；当…时
prep. 如同；当作；以…的身份
adv. 同样地；和…一样的",True
Asia,'eɪʒə,n.  亚洲,True
Asian,'eiʃәn,"adj. 亚洲的；亚洲人的
n. 亚洲人",True
ask,ɑ:sk,"v. 问，询问；要求；需要；邀请；讨价
n. (Ask)人名；(芬、瑞典)阿斯克",True
asleep,əˈsli:p,"adj. 睡着的；麻木的；长眠的
adv. 熟睡地；进入睡眠状态",True
astronaut,ˈæstrənɔ:t,n. 宇航员，航天员；太空旅行者,True
at,ət,"prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于
n. 阿特（老挝货币基本单位att）；[化]砹（极不稳定放射性元素）
abbr. 密封的（airtight）；气温（air temperature）",True
attend,əˈtend,"vi.  注意， 倾听； 侍奉， 伴随； 专心于
vt. 参加，上；照顾，关心",True
attention,əˈtenʃn,n.  注意力， 专心； 关注； 关心； 立正姿势,True
aunt,ɑ:nt,n.  姑姑， 姨妈， 伯母， 婶婶， 舅妈,True
Australia,ɒ'streiljә,n. 澳大利亚，澳洲,True
Australian,ɒ'streiljәn,"adj. 澳大利亚的；澳大利亚人的
n. 澳大利亚人",True
autumn,ˈɔ:təm,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的",True
avoid,əˈvɔɪd,vt.  避开， 避免； 撤销； 防止,True
away,əˈweɪ,"adv. 向远处，离开
adj.  不在的； 离开的",True
awful,ˈɔ:fl,adj.  可怕的； 极坏的； 威严的； 令人不快的， 难过的， 不舒服的； 非常的， 极大的,True
baby,ˈbeɪbi,"n. 婴儿，婴孩；孩子气的人
v. 纵容，娇纵；把……当婴儿般对待
adj. 婴儿的；幼小的",True
back,bæk,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
v. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
adj. 后面的；过去的；拖欠的",True
background,ˈbækgraʊnd,"n. 背景；隐蔽的位置
v. 作…的背景
adj. 背景的；发布背景材料的",True
bad,bæd,adj.  坏的； 不利的； 差的， 有缺陷的； 邪恶的， 道德败坏的； 严重的， 厉害的；,True
bag,bæg,"n. 袋；猎获物；（俚）一瓶啤酒
v. 猎获；把…装入袋中；占据，私吞；使膨大",True
ball,bɔ:l,"n. 球；舞会
v. 成团块",True
balloon,bəˈlu:n,"v. 激增；膨胀如气球
n. 气球
adj. 像气球般鼓起的",True
bamboo,ˌbæmˈbu:,"n. 竹，竹子
vt. 为…装上篾条
adj. 竹制的；土著居民的",True
banana,bəˈnɑ:nə,n. 香蕉；喜剧演员；大鹰钩鼻,True
band,bænd,"n.  乐队； 群， 伙； 带， 箍； 条纹； 波段， 频带
vt.  用带绑扎",True
bank,bæŋk,"n. 银行；岸；浅滩；储库
v. 将…存入银行；倾斜转弯",True
baseball,ˈbeɪsbɔ:l,n. 棒球运动；棒球,True
basic,ˈbeɪsɪk,adj.  基本的， 基础的； 初步的， 初级的,True
basket,ˈbɑ:skɪt,"n. 篮子；（篮球比赛的）得分；一篮之量；篮筐
vt. 装入篮",True
basketball,ˈbɑ:skɪtbɔ:l,n. 篮球；篮球运动,True
bathroom,ˈbɑ:θru:m,"n. 浴室;盥洗室,卫生间",True
beach,bi:tʃ,"n. 海滩；湖滨
v. 将…拖上岸",True
bean,bi:n,"n. 豆；嘴峰；毫无价值的东西
v. 击…的头部",True
bear,beə(r),"vi. 忍受；倾向于；运走，携带
vt. 生育；承担；运输；怀有，心怀；写有
n.  熊； 卖空者， 看跌的人； 粗鲁的人",True
beat,bi:t,"v. 打拍子，指挥；敲打；打败，胜过；跳动
adj.  疲惫的
n. 跳动；节拍，节奏；有规律的敲击",True
beautiful,ˈbju:tɪfl,adj.  美丽的； 完美的； 出色的,True
because,bɪˈkɒz,conj. 由于，因为,True
become,bɪˈkʌm,v.  [became-become] 变成， 成为； 开始变得,True
bed,bed,"n. 床；基础；河底， 海底
v. 使睡觉；安置，嵌入；栽种",True
bedroom,ˈbedru:m,"n. 卧室
adj. 两性关系的；城郊住宅区的",True
beef,bi:f,"n. 牛肉；肌肉；食用牛；牢骚
v. 抱怨，告发；发牢骚",True
before,bɪˈfɔ:(r),"prep. 在…之前，先于
adv. 以前；在前
conj. 在…以前；在…之前",True
begin,bɪˈgɪn,"v. 开始
n. (Begin)人名；(以、德)贝京；(英)贝让",True
behind,bɪˈhaɪnd,"prep. 落后于；支持；晚于
adv. 在后地；在原处
n. 屁股",True
believe,bɪˈli:v,v. 信任；料想；笃信宗教,True
bell,bel,"n. 铃，钟；钟声，铃声；钟状物
v. 装钟于，系铃于",True
below,bɪˈləʊ,"adv. 在下面，在较低处；在本页下面
prep. 在…下面
n. (Below)人名；(英、德、芬、瑞典)贝洛",True
beside,bɪˈsaɪd,prep. 在...旁边，在...附近；和...相比,True
better,ˈbetə(r),"n. 长辈；较好者；打赌的人（等于bettor）
adv. 更好的；更多的；较大程度地
adj. 较好的
v. 改善；胜过",True
between,bɪˈtwi:n,"prep. 在…之间
adv. 在中间",True
big,bɪg,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地
n. (Big)人名；(土)比格",True
bill,bɪl,"n. 账单；议案，法案；纸币，钞票；单子；节目单；招贴，海报
vt.  贴海报宣布； 给…开账单",True
billion,ˈbɪljən,"n. 十亿；大量
num. 十亿
adj. 十亿的",True
bird,bɜ:d,"n. 鸟；家伙；羽毛球
v. 向…喝倒彩；起哄",True
birth,bɜ:θ,n.  出生， 分娩； 出身， 血统； 起源， 开始； 出现,True
birthday,ˈbɜ:θdeɪ,n. 生日，诞辰；诞生的日子,True
biscuit,ˈbɪskɪt,n. （英）饼干；（美）软饼,True
bit,bɪt,"n. [计] 比特（二进位制信息单位）；少量；马嚼子；辅币；老一套；一点，一块
vt. 控制
adj. 很小的；微不足道的
adv. 有点儿；相当",True
bite,baɪt,"v. 咬；刺痛
n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）",True
black,blæk,"adj. 黑色的；黑人的；邪恶的
n. 黑色；黑人；黑颜料
v. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿",True
blackboard,ˈblækbɔ:d,n.  黑板,True
blind,blaɪnd,"adj. 盲目的；瞎的
adv. 盲目地；看不见地
n. 掩饰，借口；百叶窗
v. 使失明；使失去理智",True
blood,blʌd,"n. 血，血液；血统
v. 从…抽血；使先取得经验",True
blouse,blaʊz,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂",True
blue,blu:,"n. 蓝色；[复数]（美国海、陆、空三军穿的）蓝色制服；蓝颜料；[the blue(s)][用作单数或复数]布鲁斯（歌曲）（一种伤感的美国黑人民歌）
adj. 蓝色的；沮丧的，忧郁的；下流的
v. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于",True
board,bɔ:d,"vi.  登机， 上船； 搭伙， 膳宿
n. 木板，纸板；牌子，黑板；伙食；董事会，理事会
vt. 上",True
boat,bəʊt,"n. 小船；轮船
v. 划船",True
book,bʊk,"n. 书籍；卷；帐簿；名册；工作簿
v. 预订；登记",True
bookshop,ˈbʊkʃɒp,n. 书店,True
bored,bɔ:d,"adj. 无聊的；无趣的；烦人的
v. 使厌烦（bore的过去式）；烦扰",True
boring,ˈbɔ:rɪŋ,"adj. 无聊的；令人厌烦的
n. 钻孔
v. 钻孔；使厌烦；挖空（bore的ing形式）",True
born,bɔ:n,"v. 出世（bear的过去分词）
adj. 天生的
n. (Born)人名；(柬)邦；(英、西、俄、捷、德、瑞典、匈)博恩",True
borrow,ˈbɒrəʊ,"v. 借；借用；从其他语言中引入
n. (Borrow)人名；(英)博罗",True
boss,bɒs,"n. 老板；首领；工头
v. 指挥，调遣；当…的领导",True
both,bəʊθ,"adj. 两个的；两者的
adv. 并；又；两者皆
pron. 双方都；两者都
conj. 既…且…
n. (Both)人名；(德、罗、捷、南非、匈)博特",True
bottle,ˈbɒtl,"n. 瓶子；一瓶的容量
v. 控制；把…装入瓶中",True
bottom,ˈbɒtəm,"vi.  达最低点
adj. 最低的；最后的；底部的
n. 底部；远端，尽头；臀部",True
bow,bəʊ,"n. 弓；鞠躬；船首
v. 鞠躬；弯腰
adj. 弯曲的",True
bowl,bəʊl,"n. 碗；木球；大酒杯
v. 玩保龄球；滑动；平稳快速移动",True
box,bɒks,"v.  把…装箱； (用拳或手
n. 箱，盒；包厢",True
boy,bɔɪ,"男孩, 儿子, 孩子气的人, 男仆",True
brave,breɪv,"adj. 勇敢的；华丽的
v. 勇敢地面对
n. 勇士",True
bread,bred,"n. 面包；生计
v. 在…上洒面包屑",True
break,breɪk,"v. 破，裂，碎；使中止，打断，断绝；损坏，弄坏；违犯；打破；破晓
n.  打断， 中止； 休息时间； 破裂",True
breakfast,ˈbrekfəst,"n. 早餐；早饭
v. 吃早餐",True
bridge,brɪdʒ,"v.  架桥于； 把…连接起来
n. 桥，桥梁；桥牌",True
bright,braɪt,"adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地
n. 车头灯光",True
bring,brɪŋ,"v. 带来；促使；引起；使某人处于某种情况或境地
n. (Bring)人名；(英、瑞典)布林",True
Britain,'britәn,n. ( Great Britain) 大不列颠,True
British,'britiʃ,"adj. 英国的；英国人的；大不列颠的
n. 英国人",True
broken,ˈbrəʊkən,"adj. 破碎的；坏掉的
v. 折断；打碎；损坏（break的过去分词）",True
brother,ˈbrʌðə(r),"n. 兄弟；同事；战友
int. 我的老兄！",True
brown,braʊn,"adj. 棕色的，褐色的；太阳晒黑的
v. 变成褐色
n. 褐色，棕色",True
brush,brʌʃ,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
v. 刷；画；",True
building,ˈbɪldɪŋ,"n. 建筑；建筑物
v. 建筑；建立；增加（build的ing形式）",True
burn,bɜ:n,v.  [burnt/burned-burnt/burned] 燃烧， 点燃；,True
bus,bʌs,n.  公共汽车,True
business,ˈbɪznəs,n.  生意， 业务； 事务， 职责； 营业； 工商企业， 商店,True
busy,ˈbɪzi,"adj. 忙碌的；热闹的；正被占用的
v. 使忙于
n. (Busy)人名；(匈)布希；(法)比西",True
but,bət,"conj. 但是；而是；然而
adv. 仅仅，只
prep. 除…以外
n. (But)人名；(俄、罗)布特；(越)笔",True
buy,baɪ,v.  [bought-bought] 买， 买得； 向…行贿， 收买,True
by,baɪ,"prep. 通过；被；依据；经由；在附近；在……之前
adv. 通过；经过；附近；[互联网] 白俄罗斯的国家代码顶级域名",True
bye,baɪ,"int. 再见
n. 轮空；次要的东西
adj. 次要的",True
cake,keɪk,"n. 蛋糕；块状物；利益总额
v. 使结块",True
call,kɔ:l,"vi. 叫；访问
vt. 把…叫做；打电话给；叫；呼唤；召开
n.  喊叫； 电话， 通电话； 访问",True
calm,kɑ:m,"vi. 平静下来
adj.  平静的； 镇定的， 沉着的
vt. 使平静，使镇定",True
camera,ˈkæmərə,n.  照相机； 摄影机， 摄像机,True
camp,kæmp,"v.  露营， 扎营
n. 营地，露营",True
can,kæn,"v. 将…装入密封罐中保存
aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头",True
Canada,'kænәdә,n. 加拿大（北美洲国家）,True
Canadian,kә'neidiәn,"adj. 加拿大的；加拿大人的
n. 加拿大人",True
candle,ˈkændl,"n. 蜡烛；烛光；烛形物
v. 对着光检查",True
candy,ˈkændi,"v. 用糖煮；使结晶为砂糖；美化
n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的",True
cap,kæp,"n. 〔对物件起保护作用的〕罩，盖，套
v. 限制〔尤指金钱〕",True
capital,ˈkæpɪtl,"adj.  首要的， 重要的； 死罪的； 大写的
n. 资本，资金；首都，首府；大写字母",True
car,kɑ:(r),n. 汽车，车辆，车；(火车)车厢,True
card,kɑ:d,n.  牌， 纸牌； 卡片； 名片， 身份证； 信用卡； 引人发笑的人， 怪人,True
care,keə(r),"v. 关心，关怀；担心；介意
n.  照顾， 护理； 小心， 注意； 忧虑； 挂念",True
careful,ˈkeəfl,"adj. 小心的,仔细的;细致的,精心的",True
careless,ˈkeələs,"adj. 粗心的；无忧无虑的；淡漠的
n. (Careless)人名；(英)凯尔利斯",True
carrot,ˈkærət,n.  胡萝卜,True
carry,ˈkæri,vt.  运， 搬， 抱， 背； 传递； 输送； 执行； 携带， 怀着； 具有， 附有， 包含； 支撑， 承载,True
cartoon,kɑ:ˈtu:n,"n. 卡通片，[电影] 动画片；连环漫画
v. 为…画漫画",True
cat,kæt,n.  猫； 猫科动物,True
catch,kætʃ,v.  [caught-caught] 抓住， 接住； 偶然撞见； 染上， 感染； 赶上， 追上；,True
cause,kɔ:z,"vt. 造成，引起；使得；使遭受，给…带来
n.  原因； 事业； 奋斗目标",True
cave,keɪv,"v. 使凹陷，使塌落；在…挖洞穴
n. 洞穴，窑洞",True
CD,si:ˈdi:,abbr. 光盘，激光唱片（Compact Disc）；呼叫设备（Calling Device）；中央地区（Central District）；商务部（Commerce Department）,True
celebrate,ˈselɪbreɪt,v. 庆祝；颂扬，赞美vi.庆祝，过节,True
central,ˈsentrəl,"adj. 中心的；主要的；中枢的
n. 电话总机",True
century,ˈsentʃəri,n. 世纪，百年；（板球）一百分,True
certain,ˈsɜ:tn,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个
n. (Certain)人名；(葡)塞尔塔因；(法)塞尔坦",True
certainly,ˈsɜ:tnli,adv. 当然；行（用于回答）；必定,True
chair,tʃeə(r),"n. 椅子；讲座；（会议的）主席位；大学教授的职位
v. 担任（会议的）主席；使…入座；使就任要职",True
chalk,tʃɔ:k,"v. 用粉笔写；用白垩粉擦；记录；规划
n. 粉笔；白垩；用粉笔划的记号
adj. 用粉笔写的",True
chance,tʃɑ:ns,"v.  碰巧， 偶然发生； 冒…的险
n. 机会；可能性，偶然性；偶然的事",True
change,tʃeɪndʒ,"vi. 改变；换衣，换车
vt. 改变，更改；交换，兑换
n.  变化； 交换； 找头， 零钱",True
cheap,tʃi:p,adj.  便宜的， 廉价的； 劣质的， 低劣的； 卑鄙的， 低级的,True
check,tʃek,"v. 检查，核对；制止，抑制；在…上打勾
n. <美>支票；制止，抑制；检验，核对",True
cheer,tʃɪə(r),"v. 欢呼；使高兴；为…加油
n. 欢呼；愉快；心情；令人愉快的事",True
cheese,tʃi:z,"n. [食品] 奶酪；干酪；要人
v. 停止
adj. 叛变的；胆小的",True
chemistry,ˈkemɪstri,n. 化学；化学过程,True
chess,tʃes,n. 国际象棋，西洋棋,True
chicken,ˈtʃɪkɪn,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的",True
child,tʃaɪld,n. 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子,True
China,'tʃainә,"n. 中国
adj. 中国的；中国制造的",True
Chinese,tʃai'ni:z,"n. 中文，汉语；中国人
adj. 中国的，中国人的；中国话的",True
chocolate,ˈtʃɒklət,"n. 巧克力，巧克力糖；巧克力色
adj. 巧克力色的；巧克力口味的",True
choice,tʃɔɪs,"n. 选择；选择权；精选品
adj. 精选的；仔细推敲的",True
choose,tʃu:z,v.  [chose-chosen] 选择， 挑选,True
Christmas,'krismәs,n. 圣诞节；圣诞节期间,True
church,tʃɜ:tʃ,"n. 教堂；礼拜；教派
adj. 教会的；礼拜的
v. 领…到教堂接受宗教仪式",True
cinema,ˈsɪnəmə,n. 电影；电影院；电影业，电影制作术,True
circle,ˈsɜ:kl,"v.  围着， 圈出； 环绕…移动； 盘旋， 环行
n. 圆，圆圈；圈子，界；阶层",True
city,ˈsɪti,"n. 城市，都市
adj. 城市的；都会的",True
class,klɑ:s,"n. 阶级；班级；种类；班；等级
v. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
adj. 极好的；很好的，优秀的，出色的",True
classical,ˈklæsɪkl,"adj. 古典的；经典的；传统的；第一流的
n. 古典音乐",True
classmate,ˈklɑ:smeɪt,n. 同班同学,True
classroom,ˈklɑ:sru:m,n. 教室，课堂,True
clean,kli:n,"adv.  完全地， 一干二净地
adj. 干净的，清洁的；清白的；公正的；熟练的，干净利落的
vt. 把…弄干净，擦净",True
clear,klɪə(r),"adv. 清晰地
vi.  变晴； 变清澈
adj. 清楚的；无疑的；晴朗的，清澈的；畅通的；条理清楚的
vt. 扫清；使清楚；使清白无辜，证明…无罪",True
clever,ˈklevə(r),adj.  聪明的， 机灵的； 灵巧的， 精巧的,True
click,klɪk,"v. 发出嘀嗒声； 使发出咔嚓声
n. 嘀嗒声， 咔哒声， 咔嚓声",True
climb,klaɪm,"v. 爬；攀登；上升
n. 爬；攀登",True
clock,klɒk,"n. 时钟；计时器
v. 记录；记时",True
close,kləʊz,"adv. 接近地；接近地
adj. 密切的，亲密的；近的，接近的；严密的，仔细的；不通风的，闷的；密切的，亲密的；近的，接近的；严密的，仔细的；不通风的，闷的
n.  结束， 终止； 结束， 终止",True
cloth,klɒθ,"n. 布；织物；桌布
adj. 布制的",True
clothes,kləʊðz,n. 衣服(虽为复数，亦不可数),True
cloud,klaʊd,"n. 云；阴云；云状物；一大群；黑斑
v. 使混乱；以云遮敝；使忧郁；玷污",True
cloudy,ˈklaʊdi,adj. 多云的；阴天的；愁容满面的,True
club,klʌb,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
v. 用棍棒打；募集
adj. 俱乐部的",True
coach,kəʊtʃ,"n. 客车， 长途汽车， 大客车；教练； 辅导员， 私人教师
vt. 辅导， 指导",True
coal,kəʊl,"v. 上煤；加煤
n. 煤；煤块；木炭",True
coast,kəʊst,"v. 滑行；沿岸航行
n. 海岸；滑坡",True
coat,kəʊt,"v.  涂
n. 上衣，外套；表皮，皮毛；覆盖物，层",True
coffee,ˈkɒfi,n.  咖啡， 咖啡豆； 咖啡树； 咖啡色,True
coin,kɔɪn,"v. 铸造（货币）；杜撰，创造
n. 硬币，钱币",True
cold,kəʊld,"adj. 寒冷的；冷淡的，不热情的；失去知觉的
n. 寒冷；感冒
adv. 完全地",True
collect,kəˈlekt,"v. 收集；募捐
adv. 由收件人付款地
adj. 由收件人付款的
n. (Collect)人名；(英)科莱克特",True
college,ˈkɒlɪdʒ,n. 高等专科学校；大学；学院,True
come,kʌm,"v. 来；开始；出现；发生；变成；到达
int. 嗨！
n. (Come)人名；(英)科姆；(阿尔巴)乔梅",True
comfortable,ˈkʌmftəbl,adj.  舒适的， 舒服的； 宽裕的， 小康的,True
common,ˈkɒmən,"adj. 共同的；普通的；一般的；通常的
n. 普通；平民；公有地",True
communicate,kəˈmju:nɪkeɪt,v.  通讯， 交际， 交流； 连接， 相通； 传达， 传播； 传染,True
company,ˈkʌmpəni,n.  公司， 商号； 陪伴， 交往； 同伴， 朋友； 客人； 群， 伙,True
compare,kəmˈpeə(r),v. (to，with)比较；(to)把…比作vi.相比,True
competition,ˌkɒmpəˈtɪʃn,n. 竞争，比赛；角逐，较量；竞争者,True
complete,kəmˈpli:t,"adj.  完整的； 已完成的， 终结的； 彻底的
vt. 完成，结束；使完整，使完全",True
computer,kəmˈpju:tə(r),n. 计算机；电脑；电子计算机,True
concert,ˈkɒnsət,"n. 音乐会；一致；和谐
v. 使协调；协同安排
adj. 音乐会用的；在音乐会上演出的",True
condition,kənˈdɪʃn,"n. 状况，状态；
vt.  训练； 使适应， 使习惯于； 对…有重要影响",True
confident,ˈkɒnfɪdənt,adj.  确信的， 肯定的； 有信心的， 自信的,True
connect,kəˈnekt,v.  连接， 衔接； 联合， 关联； 由…联想到； 给…接通电话,True
connection,kəˈnekʃn,n.  联系， 关系； 连接， 衔接； 连贯性； 熟人， 关系,True
consider,kənˈsɪdə(r),v.  考虑， 细想； 认为， 把…看作； 关心， 照顾,True
continue,kənˈtɪnju:,v. 继续，延续；仍旧，连续,True
control,kənˈtrəʊl,"v.  控制， 支配；
n. 控制，支配；管理；调节；抑制，自制；控制器，调节器",True
conversation,ˌkɒnvəˈseɪʃn,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话,True
cook,kʊk,"v. 烹调，煮，烧
n.  厨师， 炊事员",True
cookie,ˈkʊki,n. 饼干；小甜点,True
cool,ku:l,"adj. 凉爽的；冷静的；出色的
v. 使…冷却；使…平静下来
n. 凉爽；凉爽的空气
adv. 冷静地",True
